Gambar,Warna_R,Warna_G,Warna_B,Kontras,Homogenitas,Area,Keliling
ambon (30).png,12.505326166666668,21.77107791666667,22.364808,11.675891297099033,0.9352646889250835,4.0,3.2071067811865475
ambon (31).png,13.167086166666667,23.398454083333334,24.7956135,12.60972140713571,0.9314891035004097,7.0,5.414213562373095
ambon (32).png,13.0467925,24.96094425,26.65523016666667,11.861972157385795,0.9246486990064375,3.0,1.2071067811865475
ambon (33).png,12.696042416666668,19.066153,20.304127750000003,12.872417805935312,0.9421091767507495,429.0,228.5685424949238
ambon (34).png,13.183964333333334,20.111135833333336,21.2768905,12.542941147049019,0.934081128940041,249.0,126.17766952966367
ambon (35).png,10.619618500000001,18.61003475,19.884157583333334,11.475990663554516,0.9480567027122214,1.0,0.0
ambon (36).png,10.536644416666668,17.971789,19.149480083333334,10.717976325441812,0.9447748324121455,26.0,23.242640687119284
ambon (37).png,10.972361000000001,18.471173833333335,19.659487000000002,10.22837445815272,0.9450221060355554,1.0,0.0
ambon (38).png,9.907328916666668,18.561746,19.79895425,9.69357985995332,0.9444608325627002,4.0,3.414213562373095
ambon (39).png,8.619897916666668,15.69869925,16.543848750000002,10.926994498166057,0.9589030735991525,17.0,17.621320343559645
ambon (4).png,13.591441666666668,31.14168725,34.23967841666667,11.432061020340116,0.9042062462174041,2.0,0.0
ambon (40).png,9.187209000000001,17.67357025,18.402112250000002,12.424465155051687,0.9488301901345813,105.0,59.384776310850235
ambon (41).png,11.917714166666668,19.96004525,21.24981075,12.983339446482159,0.94526669064741,1.0,0.0
ambon (42).png,13.397877833333334,24.213353416666667,25.509170750000003,13.163180560186728,0.9416616278681386,234.0,103.31980515339463
ambon (43).png,10.964799666666668,24.42602025,26.771128333333333,6.916158372926565,0.930089177642792,1320.0,442.3980156401965
ambon (44).png,13.613776666666668,24.006775833333336,25.096350083333334,6.848248062015504,0.9425350060667328,12.0,9.863961030678928
ambon (45).png,8.831513916666667,15.2077565,16.333216083333333,4.30541135283821,0.9607341163703693,482459.0,12602.853203471854
ambon (46).png,15.8455165,28.112680333333333,29.10294275,15.307469489829948,0.932816204846393,172.0,82.6274169979695
ambon (47).png,13.314763083333334,24.510768666666667,25.608935000000002,13.416612870956984,0.9370550409024537,81.0,45.00609665440987
ambon (48).png,12.712241583333334,21.721021833333335,22.909216833333335,10.640528676225408,0.9418989785458666,1037058.0,24648.292372850083
ambon (49).png,11.77436625,22.988991083333335,24.166456833333335,10.742764588196064,0.9361849757910873,13.0,13.242640687119284
ambon (5).png,10.463070666666667,24.596161000000002,27.23930166666667,6.243575893973494,0.9218388926041838,2.0,0.0
ambon (50).png,10.021119666666667,17.88850375,19.292364083333336,11.543981660553518,0.9509114495527552,2.0,0.0
ambon (51).png,5.874925416666667,12.002647583333333,12.990459583333335,3.95576358786262,0.967633748023235,332276.0,18179.325096839966
ambon (52).png,5.654671250000001,12.616860500000001,13.784534166666667,4.09598232744248,0.9654304167965325,355334.0,18072.512867637397
ambon (53).png,7.1052875,13.828835083333335,15.098170416666667,4.185530843614537,0.9603783226496216,466592.0,25989.041902405
ambon (54).png,7.367160583333334,13.51276825,14.6260515,4.405176892297433,0.9591376869062037,446043.0,23708.869104040474
ambon (55).png,6.5057514166666675,13.060405333333334,14.447081083333334,4.410088029343114,0.9600961994403697,426413.0,25320.868237488692
ambon (56).png,6.750594416666667,14.602860750000001,16.600897,4.017422474158052,0.958534641832989,457331.0,18271.482563834095
